500 4
1 1 -1.876072571041911
1 2 3.15942672185458
1 3 11.759407979349023
1 4 -11.876843593158833
2 1 3.610246562515041
2 2 -6.042476755202663
2 3 0.09887005083517704
2 4 4.512837160670759
3 1 -7.5356091343309135
3 2 5.403005769450388
3 3 -7.669211656740933
3 4 9.592374479019933
4 1 13.87205508739734
4 2 -1.2967991773645033
4 3 -14.098359684032792
4 4 1.883275456472067
1 5 0.08339098435991185
2 6 0.1674611034218808
3 7 0.19970679304692682
4 8 0.011876042479140337
5 5 3.920748071141964
5 6 -10.103753070046098
5 7 -8.704678173547327
5 8 9.320844865933392
6 5 -9.457444683087894
6 6 6.096204589377669
6 7 2.460395628319759
6 8 3.8536882839916715
7 5 -3.257567685671306
7 6 4.793059762653076
7 7 14.938264708569001
7 8 -8.656980718698046
8 5 11.057843761367229
8 6 3.4182583780733005
8 7 -7.578723421449165
8 8 -6.730766858532231
5 9 0.008225046224379584
6 10 0.15292324886200184
7 11 0.1496177911492226
8 12 0.2882173744576092
5 3 0.2826953400280653
5 4 0.18408503365807727
6 3 0.09427448731806021
6 4 0.010111305217822575
7 3 0.09856489021731742
7 4 0.21430111813785183
8 3 0.24620846549770503
8 4 0.03659686843080987
9 9 -5.1039368394157165
9 10 -6.331377566517617
9 11 9.385985085972742
9 12 5.393041438895801
10 9 7.487127727424893
10 10 -10.846188180133161
10 11 1.8383807301072868
10 12 6.117960938201915
11 9 -11.568985791670004
11 10 12.553692054395569
11 11 -10.144806738048823
11 12 2.06199676725281
12 9 6.237597456599348
12 10 7.15780550671137
12 11 -1.5724330850358668
12 12 -10.341953736286781
9 13 0.2908309227530779
10 14 0.21637548902556927
11 15 0.16821968407659235
12 16 0.0780524117150316
9 7 0.14350541060236072
9 8 0.2624393591888773
10 7 0.13102602071233785
10 8 0.21561332768949806
11 7 0.24969810113612934
11 8 0.20734459549249387
12 7 0.29173068514066325
12 8 0.1890268322481352
13 13 5.5514900721112985
13 14 5.540377431981356
13 15 -0.8047629924116301
13 16 -10.633480615079264
14 13 -4.282738268648516
14 14 10.483902999875149
14 15 -13.547254669045818
14 16 8.82555010046949
15 13 -4.4701370104959555
15 14 -8.133530392981019
15 15 14.804362577233938
15 16 -0.7703354292101925
16 13 2.777342947750844
16 14 -6.7435684784872265
16 15 -2.2763810999769953
16 16 8.174584972287455
13 17 0.12371665204059618
14 18 0.03837976468102373
15 19 0.22213526320757648
16 20 0.28641491823330745
13 11 0.2434768072547114
13 12 0.007081861907061615
14 11 0.18707176784229332
14 12 0.0858098080822104
15 11 0.26462435117557026
15 12 0.0606662989390071
16 11 0.13946530458057962
16 12 0.009190499178533495
17 17 -2.928754244134439
17 18 -5.253246841621707
17 19 -3.0535245217037414
17 20 10.058663755367503
18 17 11.04198754306532
18 18 3.8986297373989345
18 19 -7.645121213063549
18 20 -2.001115461370137
19 17 -2.9046284527377457
19 18 14.929959621927022
19 19 -0.38897846762981414
19 20 -8.005173679883162
20 17 -7.914937324310165
20 18 -10.46307395073934
20 19 13.478128127359405
20 20 0.6254323699989787
17 21 0.020335771939033152
18 22 0.09448563152979901
19 23 0.190847899729129
20 24 0.24662400415309937
17 15 0.2535140676761768
17 16 0.22614371628600746
18 15 0.16210892407870353
18 16 0.0991636748631763
19 15 0.11972093414649422
19 16 0.29594474599401027
20 15 0.189982903991336
20 16 0.10046731470982417
21 21 -8.077532875378969
21 22 14.99954973183552
21 23 -3.9435253905219145
21 24 -7.5012265148639425
22 21 12.366952841811049
22 22 -1.39382432930094
22 23 -3.1391399942047635
22 24 -1.055773020083867
23 21 -5.222324159972609
23 22 -12.64959259274177
23 23 11.125098327821613
23 24 4.368327586899735
24 21 -3.6824370945904654
24 22 -4.034493929578998
24 23 0.3724889631974202
24 24 10.39148016286489
21 25 0.07607775340261609
22 26 0.04131220668622446
23 27 0.2631206826648009
24 28 0.03439228650477572
21 19 0.03497715004810813
21 20 0.035841560805055246
22 19 0.28998902703276
22 20 0.07626517033955509
23 19 0.07825741734447893
23 20 0.20628008522566618
24 19 0.21375667463627965
24 20 0.1790089458182653
25 25 8.975344776593719
25 26 -10.138420738166705
25 27 7.322999261661087
25 28 -7.2400933722337975
26 25 4.412778403840541
26 26 7.519587821656197
26 27 -7.834056106539186
26 28 -10.692942170262542
27 25 -2.485908537734977
27 26 0.8594486151191315
27 27 8.779843901963886
27 28 -3.259784392493931
28 25 -7.6812423083177395
28 26 3.1344215326462055
28 27 -5.489232541727113
28 28 16.164593320503606
25 29 0.19645280576607901
26 30 0.11903666989679675
27 31 0.036383858460260085
28 32 0.048036726504377604
25 23 0.14289427429994075
25 24 0.2676835955425875
26 23 0.1291537408334245
26 24 0.0020105061051945315
27 23 0.28558238448154843
27 24 0.20715022760783794
28 23 0.06040546767192736
28 24 0.23790901372281392
29 29 8.156822244785227
29 30 -3.0346127626239743
29 31 -15.046434772205057
29 32 1.8498228342764242
30 29 -0.5045401890078194
30 30 0.6961976712577261
30 31 15.235942973500462
